% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1451	1	7	2	0	4	26	0	1
1451	1	8	11	0	0	7	0	1
1451	1	9	3	0	2	18	0	1
1452	1	4	1	0	0	7	0	1
1452	1	10	9	0	0	7	0	1
1453	1	9	3	0	0	7	0	1
1454	1	7	2	0	0	7	0	1
1455	1	5	4	0	2	18	0	1
1455	1	7	2	0	0	7	0	1
1455	1	4	1	0	2	18	0	1
1456	1	7	2	0	4	26	0	1
1456	1	8	11	0	0	7	0	1
1456	1	9	3	0	2	18	0	1
1457	1	8	11	0	2	18	0	1
1457	1	4	1	0	0	7	0	1
1458	1	6	12	0	2	18	0	1
1458	1	8	11	0	2	18	0	1
1458	1	9	3	0	0	7	0	1
1459	1	7	2	0	0	7	0	1
1459	1	8	11	0	4	26	0	1
1459	1	10	9	0	2	18	0	1
1460	1	5	4	0	6	32	0	1
1460	1	2	10	0	2	18	0	1
1461	1	3	15	0	2	18	0	1
1462	1	8	11	0	2	18	0	1
1462	1	4	1	0	0	7	0	1
1463	1	6	12	0	2	18	0	1
1463	1	8	11	0	2	18	0	1
1463	1	9	3	0	0	7	0	1
1463	1	1	16	0	0	7	0	1
1464	1	7	2	0	0	7	0	1
1464	1	8	11	0	4	26	0	1
1464	1	10	9	0	2	18	0	1
1465	1	5	4	0	4	26	0	1
1465	1	4	1	0	4	26	0	1
1465	1	3	15	0	0	7	0	1
1465	1	2	10	0	2	18	0	1
1466	1	7	2	0	0	7	0	1
1466	1	3	15	0	2	18	0	1
1468	1	6	12	0	4	26	0	1
1468	1	1	16	0	0	7	0	1
1469	1	8	11	0	6	32	0	1
1469	1	10	9	0	4	26	0	1
1470	1	5	4	0	6	32	0	1
1470	1	4	1	0	4	26	0	1
1470	1	3	15	0	0	7	0	1
1471	1	7	2	0	0	7	0	1
1471	1	3	15	0	2	18	0	1
1472	1	8	11	0	2	18	0	1
1473	1	6	12	0	4	26	0	1
1474	1	8	11	0	6	32	0	1
1474	1	10	9	0	0	7	0	1
1475	1	5	4	0	4	26	0	1
1477	1	8	11	0	2	18	0	1
1479	1	10	9	0	4	26	0	1
1480	1	4	1	0	2	18	0	1
1482	1	8	11	0	4	26	0	1
1485	1	5	4	0	0	7	0	1
1485	1	4	1	0	2	18	0	1
1489	1	10	9	0	4	26	0	1
1490	1	5	4	0	0	7	0	1
1492	1	8	11	0	6	32	0	1
1494	1	10	9	0	4	26	0	1
1497	1	8	11	0	6	32	0	1
1499	1	10	9	0	2	18	0	1
1502	1	8	11	0	4	26	0	1
1507	1	8	11	0	6	32	0	1
1512	1	8	11	0	6	32	0	1
1609	1	9	3	0	4	26	0	1
1610	1	5	4	0	0	7	0	1
1611	1	7	2	0	2	18	0	1
1611	1	4	1	0	4	26	0	1
1613	1	5	4	0	4	26	0	1
1614	1	5	4	0	0	7	0	1
1614	1	9	3	0	4	26	0	1
1615	1	5	4	0	0	7	0	1
1615	1	10	9	0	4	26	0	1
1616	1	7	2	0	2	18	0	1
1616	1	4	1	0	4	26	0	1
1617	1	8	11	0	4	26	0	1
1618	1	5	4	0	4	26	0	1
1618	1	10	9	0	2	18	0	1
1619	1	5	4	0	0	7	0	1
1619	1	6	12	0	4	26	0	1
1619	1	9	3	0	6	32	0	1
1620	1	5	4	0	0	7	0	1
1620	1	10	9	0	4	26	0	1
1621	1	8	11	0	4	26	0	1
1622	1	6	12	0	4	26	0	1
1622	1	8	11	0	4	26	0	1
1623	1	10	9	0	2	18	0	1
1624	1	6	12	0	4	26	0	1
1625	1	1	16	0	0	7	0	1
1625	1	10	9	0	2	18	0	1
1626	1	7	2	0	6	32	0	1
1626	1	8	11	0	4	26	0	1
1627	1	6	12	0	4	26	0	1
1627	1	8	11	0	2	18	0	1
1628	1	5	4	0	4	26	0	1
1628	1	10	9	0	0	7	0	1
1630	1	1	16	0	0	7	0	1
1630	1	10	9	0	0	7	0	1
1631	1	7	2	0	6	32	0	1
1633	1	5	4	0	4	26	0	1
1634	1	6	12	0	0	7	0	1
1635	1	10	9	0	0	7	0	1
1636	1	7	2	0	4	26	0	1
1639	1	6	12	0	0	7	0	1
1640	1	10	9	0	0	7	0	1
1641	1	7	2	0	4	26	0	1
1644	1	6	12	0	0	7	0	1
1645	1	10	9	0	0	7	0	1
1646	1	7	2	0	2	18	0	1
1649	1	6	12	0	0	7	0	1
1650	1	10	9	0	0	7	0	1
1654	1	6	12	0	0	7	0	1
1655	1	10	9	0	0	7	0	1
1659	1	6	12	0	0	7	0	1
1660	1	10	9	0	0	7	0	1
1664	1	6	12	0	0	7	0	1
1665	1	10	9	0	0	7	0	1
1669	1	6	12	0	0	7	0	1
1670	1	10	9	0	0	7	0	1
1674	1	6	12	0	0	7	0	1
1675	1	10	9	0	0	7	0	1
1679	1	6	12	0	0	7	0	1
1680	1	10	9	0	0	7	0	1
1684	1	6	12	0	0	7	0	1
1685	1	10	9	0	0	7	0	1
1689	1	6	12	0	0	7	0	1
1690	1	10	9	0	0	7	0	1
1694	1	6	12	0	0	7	0	1
1695	1	10	9	0	0	7	0	1
1699	1	6	12	0	0	7	0	1
1700	1	10	9	0	0	7	0	1
1704	1	6	12	0	0	7	0	1
1705	1	10	9	0	0	7	0	1
1709	1	6	12	0	0	7	0	1
1710	1	10	9	0	0	7	0	1
1714	1	6	12	0	0	7	0	1
1715	1	10	9	0	0	7	0	1
1719	1	6	12	0	0	7	0	1
1720	1	10	9	0	0	7	0	1
1724	1	6	12	0	0	7	0	1
1725	1	10	9	0	0	7	0	1
1729	1	6	12	0	0	7	0	1
1730	1	10	9	0	0	7	0	1
1734	1	6	12	0	0	7	0	1
1735	1	10	9	0	0	7	0	1
1739	1	6	12	0	0	7	0	1
1740	1	10	9	0	0	7	0	1
1744	1	6	12	0	0	7	0	1
1745	1	10	9	0	0	7	0	1
1749	1	6	12	0	0	7	0	1
1750	1	10	9	0	0	7	0	1
1754	1	6	12	0	0	7	0	1
1755	1	10	9	0	0	7	0	1
1759	1	6	12	0	0	7	0	1
1760	1	10	9	0	0	7	0	1
1764	1	6	12	0	0	7	0	1
1765	1	10	9	0	0	7	0	1
1769	1	6	12	0	0	7	0	1
1770	1	7	2	0	4	26	0	1
1770	1	9	3	0	0	7	0	1
1770	1	10	9	0	0	7	0	1
1771	1	9	3	0	2	18	0	1
1771	1	4	1	0	4	26	0	1
1772	1	7	2	0	2	18	0	1
1773	1	9	3	0	12	73	0	1
1774	1	6	12	0	0	7	0	1
1775	1	7	2	0	4	26	0	1
1775	1	9	3	0	0	7	0	1
1776	1	9	3	0	2	18	0	1
1776	1	4	1	0	4	26	0	1
1777	1	7	2	0	2	18	0	1
1777	1	8	11	0	0	7	0	1
1777	1	10	9	0	4	26	0	1
1778	1	6	12	0	0	7	0	1
1778	1	8	11	0	0	7	0	1
1778	1	9	3	0	12	73	0	1
1778	1	10	9	0	0	7	0	1
1779	1	6	12	0	4	26	0	1
1779	1	8	11	0	4	26	0	1
1779	1	10	9	0	0	7	0	1
1780	1	7	2	0	2	18	0	1
1781	1	6	12	0	6	32	0	1
1781	1	8	11	0	4	26	0	1
1781	1	9	3	0	4	26	0	1
1781	1	4	1	0	0	7	0	1
1781	1	3	15	0	2	18	0	1
1782	1	7	2	0	2	18	0	1
1782	1	8	11	0	0	7	0	1
1782	1	3	15	0	0	7	0	1
1782	1	10	9	0	4	26	0	1
1783	1	6	12	0	0	7	0	1
1783	1	8	11	0	0	7	0	1
1783	1	10	9	0	0	7	0	1
1784	1	6	12	0	4	26	0	1
1784	1	8	11	0	4	26	0	1
1784	1	10	9	0	0	7	0	1
1785	1	3	15	0	2	18	0	1
1786	1	6	12	0	6	32	0	1
1786	1	8	11	0	4	26	0	1
1786	1	3	15	0	2	18	0	1
1787	1	3	15	0	0	7	0	1
1787	1	10	9	0	4	26	0	1
1789	1	6	12	0	0	7	0	1
1789	1	8	11	0	2	18	0	1
1790	1	3	15	0	2	18	0	1
1791	1	6	12	0	0	7	0	1
1791	1	9	3	0	4	26	0	1
1794	1	6	12	0	2	18	0	1
1794	1	8	11	0	6	32	0	1
1796	1	8	11	0	4	26	0	1
1796	1	9	3	0	4	26	0	1
1796	1	3	15	0	0	7	0	1
1797	1	10	9	0	6	32	0	1
1799	1	8	11	0	2	18	0	1
1800	1	3	15	0	0	7	0	1
1801	1	8	11	0	4	26	0	1
1801	1	9	3	0	0	7	0	1
1801	1	3	15	0	0	7	0	1
1802	1	10	9	0	6	32	0	1
1804	1	6	12	0	2	18	0	1
1805	1	3	15	0	0	7	0	1
1806	1	9	3	0	6	32	0	1
1807	1	10	9	0	2	18	0	1
1809	1	6	12	0	2	18	0	1
1809	1	8	11	0	2	18	0	1
1810	1	3	15	0	0	7	0	1
1812	1	10	9	0	0	7	0	1
1814	1	8	11	0	2	18	0	1
1815	1	3	15	0	0	7	0	1
1816	1	9	3	0	8	49	0	1
1817	1	10	9	0	2	18	0	1
1819	1	6	12	0	2	18	0	1
1819	1	8	11	0	4	26	0	1
1820	1	3	15	0	0	7	0	1
1821	1	9	3	0	8	49	0	1
1822	1	10	9	0	2	18	0	1
1824	1	6	12	0	2	18	0	1
1824	1	8	11	0	4	26	0	1
1825	1	3	15	0	0	7	0	1
1826	1	9	3	0	4	26	0	1
1829	1	6	12	0	2	18	0	1
1829	1	8	11	0	2	18	0	1
1830	1	3	15	0	0	7	0	1
1832	1	10	9	0	6	32	0	1
1834	1	8	11	0	0	7	0	1
1835	1	3	15	0	0	7	0	1
1836	1	9	3	0	4	26	0	1
1837	1	10	9	0	6	32	0	1
1839	1	6	12	0	0	7	0	1
1840	1	3	15	0	0	7	0	1
1841	1	9	3	0	4	26	0	1
1842	1	10	9	0	4	26	0	1
1844	1	6	12	0	0	7	0	1
1845	1	3	15	0	0	7	0	1
1846	1	9	3	0	2	18	0	1
1847	1	10	9	0	4	26	0	1
1849	1	6	12	0	0	7	0	1
1850	1	3	15	0	0	7	0	1
1851	1	9	3	0	2	18	0	1
1854	1	6	12	0	0	7	0	1
1855	1	3	15	0	0	7	0	1
1857	1	10	9	0	2	18	0	1
1859	1	6	12	0	0	7	0	1
1860	1	3	15	0	0	7	0	1
1862	1	10	9	0	2	18	0	1
1864	1	6	12	0	0	7	0	1
1865	1	3	15	0	0	7	0	1
1867	1	10	9	0	0	7	0	1
1869	1	6	12	0	0	7	0	1
1870	1	3	15	0	0	7	0	1
1872	1	10	9	0	4	26	0	1
1874	1	6	12	0	0	7	0	1
1875	1	3	15	0	0	7	0	1
1877	1	10	9	0	4	26	0	1
1879	1	6	12	0	0	7	0	1
1880	1	3	15	0	0	7	0	1
1882	1	10	9	0	0	7	0	1
1884	1	6	12	0	0	7	0	1
1885	1	3	15	0	0	7	0	1
1887	1	10	9	0	2	18	0	1
1889	1	6	12	0	0	7	0	1
1890	1	3	15	0	0	7	0	1
1892	1	10	9	0	2	18	0	1
1894	1	6	12	0	0	7	0	1
1895	1	3	15	0	0	7	0	1
1899	1	6	12	0	0	7	0	1
1900	1	3	15	0	0	7	0	1
1902	1	10	9	0	6	32	0	1
1904	1	6	12	0	0	7	0	1
1905	1	3	15	0	0	7	0	1
1907	1	10	9	0	6	32	0	1
1909	1	6	12	0	0	7	0	1
1910	1	3	15	0	0	7	0	1
1914	1	6	12	0	0	7	0	1
1915	1	3	15	0	0	7	0	1
1919	1	6	12	0	0	7	0	1
1920	1	3	15	0	0	7	0	1
1924	1	6	12	0	0	7	0	1
1925	1	3	15	0	0	7	0	1
1927	1	4	1	0	2	18	0	1
1929	1	6	12	0	0	7	0	1
1929	1	9	3	0	8	49	0	1
1930	1	9	3	0	8	49	0	1
1930	1	4	1	0	2	18	0	1
1930	1	3	15	0	0	7	0	1
1931	1	5	4	0	4	26	0	1
1931	1	7	2	0	2	18	0	1
1931	1	9	3	0	0	7	0	1
1932	1	7	2	0	4	26	0	1
1932	1	4	1	0	2	18	0	1
1933	1	9	3	0	2	18	0	1
1934	1	5	4	0	0	7	0	1
1934	1	6	12	0	0	7	0	1
1934	1	9	3	0	8	49	0	1
1935	1	9	3	0	8	49	0	1
1935	1	4	1	0	2	18	0	1
1935	1	3	15	0	0	7	0	1
1935	1	10	9	0	0	7	0	1
1936	1	5	4	0	4	26	0	1
1936	1	7	2	0	2	18	0	1
1936	1	9	3	0	0	7	0	1
1937	1	7	2	0	4	26	0	1
1937	1	8	11	0	2	18	0	1
1938	1	9	3	0	2	18	0	1
1938	1	2	10	0	2	18	0	1
1938	1	10	9	0	6	32	0	1
1939	1	5	4	0	0	7	0	1
1939	1	6	12	0	0	7	0	1
1939	1	9	3	0	4	26	0	1
1939	1	10	9	0	0	7	0	1
1940	1	9	3	0	4	26	0	1
1940	1	10	9	0	0	7	0	1
1941	1	5	4	0	0	7	0	1
1941	1	8	11	0	0	7	0	1
1942	1	7	2	0	2	18	0	1
1942	1	8	11	0	2	18	0	1
1943	1	9	3	0	8	49	0	1
1943	1	2	10	0	2	18	0	1
1943	1	10	9	0	6	32	0	1
1944	1	10	9	0	0	7	0	1
1945	1	1	16	0	2	18	0	1
1946	1	8	11	0	0	7	0	1
1947	1	8	11	0	4	26	0	1
1948	1	9	3	0	4	26	0	1
1948	1	10	9	0	2	18	0	1
1949	1	9	3	0	0	7	0	1
1950	1	1	16	0	2	18	0	1
1951	1	8	11	0	0	7	0	1
1952	1	8	11	0	4	26	0	1
1953	1	10	9	0	2	18	0	1
1954	1	9	3	0	0	7	0	1
1956	1	8	11	0	0	7	0	1
1958	1	10	9	0	2	18	0	1
1959	1	9	3	0	0	7	0	1
1961	1	8	11	0	0	7	0	1
1962	1	8	11	0	0	7	0	1
1964	1	9	3	0	0	7	0	1
1966	1	8	11	0	0	7	0	1
1967	1	8	11	0	0	7	0	1
1968	1	10	9	0	0	7	0	1
1969	1	9	3	0	0	7	0	1
1971	1	8	11	0	0	7	0	1
1972	1	8	11	0	0	7	0	1
1973	1	10	9	0	0	7	0	1
1974	1	9	3	0	0	7	0	1
1976	1	8	11	0	0	7	0	1
1977	1	8	11	0	0	7	0	1
1978	1	10	9	0	0	7	0	1
1979	1	9	3	0	0	7	0	1
1981	1	8	11	0	0	7	0	1
1982	1	8	11	0	0	7	0	1
1983	1	10	9	0	0	7	0	1
1984	1	9	3	0	0	7	0	1
1986	1	8	11	0	0	7	0	1
1987	1	8	11	0	0	7	0	1
1988	1	10	9	0	0	7	0	1
1989	1	9	3	0	0	7	0	1
1991	1	8	11	0	0	7	0	1
1992	1	8	11	0	0	7	0	1
1993	1	10	9	0	0	7	0	1
1994	1	9	3	0	0	7	0	1
1996	1	8	11	0	0	7	0	1
1997	1	8	11	0	0	7	0	1
1998	1	10	9	0	0	7	0	1
1999	1	9	3	0	0	7	0	1
2001	1	8	11	0	0	7	0	1
2002	1	8	11	0	0	7	0	1
2003	1	10	9	0	0	7	0	1
2004	1	9	3	0	0	7	0	1
2006	1	8	11	0	0	7	0	1
2007	1	8	11	0	0	7	0	1
2008	1	10	9	0	0	7	0	1
2009	1	9	3	0	0	7	0	1
2011	1	8	11	0	0	7	0	1
2012	1	8	11	0	0	7	0	1
2013	1	10	9	0	0	7	0	1
2014	1	9	3	0	0	7	0	1
2016	1	8	11	0	0	7	0	1
2017	1	8	11	0	0	7	0	1
2018	1	10	9	0	0	7	0	1
2019	1	9	3	0	0	7	0	1
2021	1	8	11	0	0	7	0	1
2022	1	8	11	0	0	7	0	1
2023	1	10	9	0	0	7	0	1
2024	1	9	3	0	0	7	0	1
2026	1	8	11	0	0	7	0	1
2027	1	8	11	0	0	7	0	1
2028	1	10	9	0	0	7	0	1
2029	1	9	3	0	0	7	0	1
2031	1	8	11	0	0	7	0	1
2032	1	8	11	0	0	7	0	1
2033	1	10	9	0	0	7	0	1
2034	1	9	3	0	0	7	0	1
2036	1	8	11	0	0	7	0	1
2037	1	8	11	0	0	7	0	1
2038	1	10	9	0	0	7	0	1
2039	1	9	3	0	0	7	0	1
2041	1	8	11	0	0	7	0	1
2042	1	8	11	0	0	7	0	1
2043	1	10	9	0	0	7	0	1
2044	1	9	3	0	0	7	0	1
2046	1	8	11	0	0	7	0	1
2047	1	8	11	0	0	7	0	1
2048	1	10	9	0	0	7	0	1
2049	1	9	3	0	0	7	0	1
2051	1	8	11	0	0	7	0	1
2052	1	8	11	0	0	7	0	1
2053	1	10	9	0	0	7	0	1
2054	1	9	3	0	0	7	0	1
2056	1	8	11	0	0	7	0	1
2057	1	8	11	0	0	7	0	1
2058	1	10	9	0	0	7	0	1
2059	1	9	3	0	0	7	0	1
2061	1	8	11	0	0	7	0	1
2062	1	8	11	0	0	7	0	1
2063	1	10	9	0	0	7	0	1
2064	1	9	3	0	0	7	0	1
2066	1	8	11	0	0	7	0	1
2067	1	8	11	0	0	7	0	1
2068	1	10	9	0	0	7	0	1
2069	1	9	3	0	0	7	0	1
2071	1	8	11	0	0	7	0	1
2072	1	8	11	0	0	7	0	1
2073	1	10	9	0	0	7	0	1
2074	1	9	3	0	0	7	0	1
2076	1	8	11	0	0	7	0	1
2077	1	8	11	0	0	7	0	1
2078	1	10	9	0	0	7	0	1
2079	1	9	3	0	0	7	0	1
2081	1	8	11	0	0	7	0	1
2082	1	8	11	0	0	7	0	1
2083	1	10	9	0	0	7	0	1
2084	1	9	3	0	0	7	0	1
2086	1	8	11	0	0	7	0	1
2087	1	8	11	0	0	7	0	1
2088	1	10	9	0	0	7	0	1
2090	1	4	1	0	0	7	0	1
2091	1	8	11	0	0	7	0	1
2092	1	7	2	0	2	18	0	1
2092	1	8	11	0	0	7	0	1
2093	1	10	9	0	0	7	0	1
2095	1	4	1	0	0	7	0	1
2095	1	10	9	0	0	7	0	1
2096	1	8	11	0	0	7	0	1
2097	1	7	2	0	2	18	0	1
2097	1	8	11	0	0	7	0	1
2097	1	10	9	0	0	7	0	1
2098	1	8	11	0	2	18	0	1
2098	1	2	10	0	2	18	0	1
2098	1	10	9	0	2	18	0	1
2099	1	8	11	0	6	32	0	1
2099	1	10	9	0	0	7	0	1
2100	1	4	1	0	0	7	0	1
2100	1	10	9	0	0	7	0	1
2101	1	8	11	0	6	32	0	1
2102	1	10	9	0	0	7	0	1
2103	1	8	11	0	2	18	0	1
2103	1	2	10	0	2	18	0	1
2103	1	10	9	0	2	18	0	1
2104	1	8	11	0	6	32	0	1
2104	1	10	9	0	0	7	0	1
2105	1	4	1	0	0	7	0	1
2105	1	10	9	0	0	7	0	1
2106	1	8	11	0	6	32	0	1
2108	1	8	11	0	2	18	0	1
2110	1	4	1	0	0	7	0	1
2110	1	10	9	0	0	7	0	1
2114	1	8	11	0	4	26	0	1
2115	1	4	1	0	0	7	0	1
2115	1	10	9	0	0	7	0	1
2119	1	8	11	0	4	26	0	1
2120	1	4	1	0	0	7	0	1
2120	1	10	9	0	0	7	0	1
2125	1	4	1	0	0	7	0	1
2125	1	10	9	0	0	7	0	1
2130	1	4	1	0	0	7	0	1
2130	1	10	9	0	0	7	0	1
2135	1	4	1	0	0	7	0	1
2135	1	10	9	0	0	7	0	1
2140	1	4	1	0	0	7	0	1
2140	1	10	9	0	0	7	0	1
2145	1	4	1	0	0	7	0	1
2145	1	10	9	0	0	7	0	1
2150	1	4	1	0	0	7	0	1
2150	1	10	9	0	0	7	0	1
2155	1	4	1	0	0	7	0	1
2155	1	10	9	0	0	7	0	1
2160	1	4	1	0	0	7	0	1
2160	1	10	9	0	0	7	0	1
2165	1	4	1	0	0	7	0	1
2165	1	10	9	0	0	7	0	1
2170	1	4	1	0	0	7	0	1
2170	1	10	9	0	0	7	0	1
2175	1	4	1	0	0	7	0	1
2175	1	10	9	0	0	7	0	1
2180	1	4	1	0	0	7	0	1
2180	1	10	9	0	0	7	0	1
2185	1	4	1	0	0	7	0	1
2185	1	10	9	0	0	7	0	1
2190	1	4	1	0	0	7	0	1
2190	1	10	9	0	0	7	0	1
2195	1	4	1	0	0	7	0	1
2195	1	10	9	0	0	7	0	1
2200	1	4	1	0	0	7	0	1
2200	1	10	9	0	0	7	0	1
2205	1	4	1	0	0	7	0	1
2205	1	10	9	0	0	7	0	1
2210	1	4	1	0	0	7	0	1
2210	1	10	9	0	0	7	0	1
2215	1	4	1	0	0	7	0	1
2215	1	10	9	0	0	7	0	1
2220	1	4	1	0	0	7	0	1
2220	1	10	9	0	0	7	0	1
2225	1	4	1	0	0	7	0	1
2225	1	10	9	0	0	7	0	1
2230	1	4	1	0	0	7	0	1
2230	1	10	9	0	0	7	0	1
2235	1	4	1	0	0	7	0	1
2235	1	10	9	0	0	7	0	1
2240	1	4	1	0	0	7	0	1
2240	1	10	9	0	0	7	0	1
2245	1	4	1	0	0	7	0	1
2245	1	10	9	0	0	7	0	1
2247	1	4	1	0	4	26	0	1
2250	1	7	2	0	0	7	0	1
2250	1	10	9	0	0	7	0	1
2251	1	5	4	0	2	18	0	1
2251	1	9	3	0	2	18	0	1
2251	1	4	1	0	2	18	0	1
2252	1	4	1	0	4	26	0	1
2253	1	5	4	0	2	18	0	1
2253	1	9	3	0	0	7	0	1
2254	1	5	4	0	6	32	0	1
2255	1	7	2	0	0	7	0	1
2255	1	10	9	0	0	7	0	1
2256	1	5	4	0	2	18	0	1
2256	1	9	3	0	2	18	0	1
2256	1	4	1	0	2	18	0	1
2257	1	10	9	0	6	32	0	1
2258	1	5	4	0	2	18	0	1
2258	1	9	3	0	0	7	0	1
2259	1	5	4	0	6	32	0	1
2259	1	6	12	0	2	18	0	1
2259	1	8	11	0	2	18	0	1
2259	1	10	9	0	2	18	0	1
2260	1	7	2	0	0	7	0	1
2260	1	10	9	0	0	7	0	1
2261	1	4	1	0	2	18	0	1
2261	1	3	15	0	4	26	0	1
2262	1	3	15	0	2	18	0	1
2262	1	10	9	0	6	32	0	1
2264	1	5	4	0	4	26	0	1
2264	1	6	12	0	2	18	0	1
